"","Any","Trimestre","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Preu_mitja_habitatge","Valor","Date"
"1",2022,1,1,"Ciutat Vella",1,"el Raval","Total. Milers d'euros","226.1",2022-01-01
"2",2022,1,1,"Ciutat Vella",2,"el Barri Gòtic","Total. Milers d'euros","453.0",2022-01-01
"3",2022,1,1,"Ciutat Vella",3,"la Barceloneta","Total. Milers d'euros","215.4",2022-01-01
"4",2022,1,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Total. Milers d'euros","353.3",2022-01-01
"5",2022,1,2,"Eixample",5,"el Fort Pienc","Total. Milers d'euros","340.0",2022-01-01
"6",2022,1,2,"Eixample",6,"la Sagrada Família","Total. Milers d'euros","301.0",2022-01-01
"7",2022,1,2,"Eixample",7,"la Dreta de l'Eixample","Total. Milers d'euros","755.8",2022-01-01
"8",2022,1,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Total. Milers d'euros","470.3",2022-01-01
"9",2022,1,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Total. Milers d'euros","328.1",2022-01-01
"10",2022,1,2,"Eixample",10,"Sant Antoni","Total. Milers d'euros","370.6",2022-01-01
"11",2022,1,3,"Sants-Montjuïc",11,"el Poble Sec","Total. Milers d'euros","253.1",2022-01-01
"12",2022,1,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Total. Milers d'euros","--",2022-01-01
"13",2022,1,3,"Sants-Montjuïc",13,"la Marina de Port","Total. Milers d'euros","228.6",2022-01-01
"14",2022,1,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Total. Milers d'euros","237.8",2022-01-01
"15",2022,1,3,"Sants-Montjuïc",15,"Hostafrancs","Total. Milers d'euros","250.7",2022-01-01
"16",2022,1,3,"Sants-Montjuïc",16,"la Bordeta","Total. Milers d'euros","211.6",2022-01-01
"17",2022,1,3,"Sants-Montjuïc",17,"Sants - Badal","Total. Milers d'euros","245.0",2022-01-01
"18",2022,1,3,"Sants-Montjuïc",18,"Sants","Total. Milers d'euros","264.0",2022-01-01
"19",2022,1,4,"Les Corts",19,"les Corts","Total. Milers d'euros","459.5",2022-01-01
"20",2022,1,4,"Les Corts",20,"la Maternitat i Sant Ramon","Total. Milers d'euros","346.7",2022-01-01
"21",2022,1,4,"Les Corts",21,"Pedralbes","Total. Milers d'euros","783.2",2022-01-01
"22",2022,1,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Total. Milers d'euros","353.8",2022-01-01
"23",2022,1,5,"Sarrià-Sant Gervasi",23,"Sarrià","Total. Milers d'euros","736.5",2022-01-01
"24",2022,1,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Total. Milers d'euros","896.7",2022-01-01
"25",2022,1,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Total. Milers d'euros","706.1",2022-01-01
"26",2022,1,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Total. Milers d'euros","732.7",2022-01-01
"27",2022,1,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Total. Milers d'euros","511.8",2022-01-01
"28",2022,1,6,"Gràcia",28,"Vallcarca i els Penitents","Total. Milers d'euros","297.6",2022-01-01
"29",2022,1,6,"Gràcia",29,"el Coll","Total. Milers d'euros","212.5",2022-01-01
"30",2022,1,6,"Gràcia",30,"la Salut","Total. Milers d'euros","281.0",2022-01-01
"31",2022,1,6,"Gràcia",31,"la Vila de Gràcia","Total. Milers d'euros","388.5",2022-01-01
"32",2022,1,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Total. Milers d'euros","330.3",2022-01-01
"33",2022,1,7,"Horta-Guinardó",33,"el Baix Guinardó","Total. Milers d'euros","279.9",2022-01-01
"34",2022,1,7,"Horta-Guinardó",34,"Can Baró","Total. Milers d'euros","234.2",2022-01-01
"35",2022,1,7,"Horta-Guinardó",35,"el Guinardó","Total. Milers d'euros","276.3",2022-01-01
"36",2022,1,7,"Horta-Guinardó",36,"la Font d'en Fargues","Total. Milers d'euros","301.4",2022-01-01
